review_id,review_text,upvotes,app_version,posted_date
gp:AOqpTOGSsGv5rOA79ttW2LE0FeMYvkdUuXRMTfbyMk00pJ0uDDj4XRvR5b2fVE4EIG19EdKBF0pZzb7g0NYYMg,"It is an excellent solution to finding videos and following people that has similar interests as ourselves. Also, it is an excellent solution to rediscovering ourselves within any environment of our society, given that we respect the environment of our society whether it be in public view or private view.",402,21.2.5,2021-09-20 07:50:23
gp:AOqpTOEDQ9__FJihY_0V4iwqy4P2OK8tGVR1tFBixYbnsY3FmxNyewvxi4Yjd-ZCiyecVPB8MKH-DpWG5QLLnA,"Great app works really well so many features so many new features lots of popular trends and so many things you can do on the app like find friends, post videos, get likes ,Duets, shares, and so much more so yes or even get sponsored on tik tok besides all the scams the app is pretty content and sometimes the foryou page won't load but other than that it's a great app that continues to improve so yes 5 Stars",67,21.2.5,2021-09-19 23:10:47
gp:AOqpTOEGEfr8TL0iKTlpbTDeM8P7HywlMmP9CkHMoaTSd4v4LoElVhIbwqGsXsLdjVB-UAuOAE0Y5GwGk0s2jA,I down loaded app but didnt work . i love this app . but could you maybe fix the bugs and make it easier to load better . like sign in with facebook or google ? works good on my phone tho . ipad does not work fix it please !,24,21.2.5,2021-09-19 08:59:34
gp:AOqpTOGZBDl9dpghmb43Mx1tnlWCOjNXyuVn5Mxf49cqr652RqH5RztxR73qWGMIs7Dqqh2eCcIaLUlJwTehuw,IT A GREAT APP AND FUN TO USE! HOWEVER ARBITRARY ALGORITHMS BLOCKING / BANNING / TAKEDOWNS ETC Alleged Reports the Reporter must be able to back their Report with Evidence or Evidence must be acquired before ACTION!!! ..EVIDENCE IS REQUIRED BEFORE UNCORROBORATED REPORT[S] wreck A Persons Rep / Account! -If IS INCLUSIVE ENVIRONMENT THEN PROVE IT ..NEEDS FAR BETTER CUSTOMER SERVICE ONLINE AND PHONE U KNOW PHONE These apps are great but these but where invented for people to Talk to each other.,18,21.2.5,2021-09-19 16:34:43
gp:AOqpTOFioH3wud_JnC4aPCG4p7s5DEEN2yZAWNXdRJjo_mOje_sczR4einhedU5bbsMyzmyH5ANcLiJTKJzVbQ,Currently it's working good for me except a few clips from a video I worked 4 hours on are missing. I was so upset the app wouldn't let me edit them after a certain point & deleted the first 4 clips so I ended up w/ only the last 17seconds of the video. Please fix that so our hard work doesn't come up missing & we can't get it back. Otherwise 5 stars for now.,232,21.1.41,2021-09-14 06:35:02
gp:AOqpTOEx7_3L-70CUZHq9z_GZPidQ89dzjsV6HUTAeg-v8GFsRiymZXD_0GtBuAw9bzzqvko-xo5lgOriuS2nA,"I love everything about the app, but when trying to edit your bio, you can no longer add links for link trees for example. I would like to add a link tres but I can't like I was able to before. other than that, it's a good app.",55,21.3.2,2021-09-19 15:54:04
gp:AOqpTOEbWy_Nja8_fufeCvWqui1ziaMGOHom3gnVdjcuap3wzwlmb-SOQdOnZWoNHBC9w2xz_PidHl28fXYs2Q,"Love the app, the downside is the promotion fixture, the guidelines reasons use by some individuals against creators unnecessary reported also duets and reactions videos violations, it doesn't make sense we have been punished for something that happened in 2018 and we didn't have any knowledge of it. Thank you for your time. Kind regards ðŸ¥°",80,21.1.41,2021-09-17 19:33:03
gp:AOqpTOH9T_OygNepOd_HoGaL3tr5a5YPmJuIV73lemgMnOi8EtvZ5Xh2Z6cYCOGNnVZHfp3iLH3V5BH0R6irWw,A very educational and fun app. I've met alot of very good people who want their voices to be heard. Lots of ways to make videos and plenty of entertainment for you.,17,21.2.5,2021-09-20 02:10:47
gp:AOqpTOGAvlJNI6g1IV0BGnCdh-Lutd9wNECKaz6vGXeCsvrr1WPLgHcahBOq_8T_0KsjOFZfUuR2B4IM0bp2YQ,"Love, love, love this app!!! Cannot wait to make my own tic tok video. Great learning app for the newbies and safe and understanding by the oldies. Everyone can enjoy the app.",12,21.3.2,2021-09-19 18:28:00
gp:AOqpTOHP98t8WpywjlLr6hzCLrnM5Hw5EJLYv_NSwE9GhF7hePaMI-An8W-fJvrZJ-bjagAGQLX6LWLdE9U-ZQ,My wifi is great and all my other apps work great.. except tik tok .. this problem happens constantly somtime i uninstall the whole app and download it again and nothing happens.. it tooks days and days to be reconnected,9,21.2.5,2021-09-20 00:17:38
gp:AOqpTOHKVIWGTQuKH-3ENkQHi2_f-8bcFJu1n2fsAKQW-MTr9MlXda6nHOzVQWlY38x3NyyXVbKps9OPtGOGFA,"TikTok is a wonderful app. I really enjoy the videos I watch. A lot of them make me laugh so hard I cry, some melt my heart, and some make me mad, but all in all, I laugh. Wonderful app. Glad I have it!ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€",121,21.2.5,2021-09-19 05:53:32
gp:AOqpTOF4h7GMDwruOToWX4YJ8REksKs7ERgKfv4-PG2YIEiZtyfPuB8-ndL36jSvY4squTCSj5IWKy3V91r5zw,"I love this app. I have no problems. I love seeing videos. Recently I fell in too depression, but since I downloaded this app it help me so much. So thank you.",7,21.2.5,2021-09-19 17:58:44
gp:AOqpTOHLUhLbtPqba2h9mFn7MiqPz9poDBq_fnjQwtwAorUwsyYXcw_nydpboggmMKQ61WtqljXBSsepGC8Bhw,All right honest critical review of three stars. Not a bad app just gotten a lot of rap that's about it it's simple too simple I don't mind it but there needs to not needs to be but it's just interesting how people have gotten in certain positions because of this app and that's a good thing don't get me wrong other people have gotten anymore quote on quote negative experiences if I can eventually get the have room on my phone I'll test this app up more in the future but for now take care.,166,20.9.3,2021-09-13 07:21:43
gp:AOqpTOF2773CNk71yhKPoA2m-2pemMb7nDFiFhUsoo8-MDcUMZnDHCLv6Mim2UmTJcTgmveSdvkSaiiiHBpnng,"When I opened the app I did my usual thing, but nothing was loading. 10 mins later I tried to uninstall it and reinstall it, but when I put my phone number in once, it said to many attempts tho I did it once. I don't know if anybody else is having this issue but idk what to do now",102,21.1.6,2021-09-17 02:29:41
gp:AOqpTOGexlpyG1JqJZovofiWutrp2-emKyyULOpcuRw6k4TeNiJT3K9cjOliG-u5lZRMngKNaDH8nN6jiZpLFA,It's an amazing app. You can watch your favorite TikTok vids and you can create any videos you want. It's an amazing way to get inspiration from your favorite TikToker whenever you want. There are a couple bugs but I still gave it a 5 star rating.,784,20.9.3,2021-09-07 09:28:13
gp:AOqpTOGhCRF6z5DfyFQURbDKasMAG0GO9oiYl9TE1oX8jmMau46dJQ88gPkUCLAw5DG_SpralEBogOyxmFrPiw,Very exploring unique ? Very well put together we get to choose and follow the topics ? There aswell are multitudes of topics you never get bored ?everthing is all always very interesting ? You will always find something you like and clean if so ? The pretty not vulgar you choose ? I could go on and on ; deffinitly a wonderful APP. ?,56,21.1.41,2021-09-17 09:19:38
gp:AOqpTOH2SbOV73qshSrD9JqDeA4O09uJKZI_lTl1vge1U__IkL13m_7lmWm4lZ0c0u1AYqL5Z0z-xosvNSymtA,"Almost perfect I just wish i could make folders for the literal thousands of videos I have and could sort them into seperate folder like have one for lifehacks and one for cat and or one for dog videos and stuff like that, tiktok makers if you could please make this happen or teach me how to make folders that would be great",4,21.2.5,2021-09-20 14:22:11
gp:AOqpTOEniiWhCiRNViwQHm1MoQ-Z4CI2mNO6qKcjIMI9OQe92Yrzt0pDXPo4U81U155BFWPdU2YRMHP7rNVD-g,I love TikTok. There are so many creative people on this app. I just wish TikTok would take into consideration that jealous people or people that don't like each other report videos and that gets the other person banned for violating community guidelines even if the report is false sometimes that's the only issue I have. Other than that this is a great outlet to have and watch others especially when I'm having a bad day.,363,20.9.3,2021-09-05 05:57:05
gp:AOqpTOHdkL2JOUpcbH292INaDtPD4jr6gml26yAi8M5UGH6j6HVjmeieEuZzp-4G0mayyOx8IMK7g5209mR9ug,"Out of all the apps I really love going on Tick Tock they be having so many funny aniimal talking video,, people dancing routine,You can send heart or comment that you really love these video.I always go on Tick Tock to see how people put together these funny video.ðŸ’–ðŸ’–ðŸ’–ðŸ’–",4,21.2.5,2021-09-19 08:48:01
gp:AOqpTOEv5DMq6C4kUnXAMm_--AzCCmopEl4Aqn-R56h4anOA4SNZzt8HTb6ovdmmCl1QyIDnFhX-mYgKR27uqQ,It is a great app for people to get to make vids talk to friends and get to see new videos how to do stuff or to try and I really like the app but sometimes I don't cuz ONE time I got hacked and a new update came to my thing so it was bad but I hope I can get that fix ummm yea that it so I hope others like the app and everyone just has a good time and have fun make videos and yea,34,21.2.5,2021-09-18 06:52:54
gp:AOqpTOHy7d5VAqGq9G9k0XdUWxHfguCsQLfQ7sDLTLxOHXzsyGlPaGN4pMieK9M-hR1EW6stXU-Qw4fG_jF56A,It has so many awesome wallpapers. I want to down load them all.. really beautiful ones to some sarcastic funny ones.. this is a great app. I haven't checked out the ring tones but I've heard that this is the best app for ringtones.. I can spend hours in this app just looking at the wallpapers alone..,156,20.9.3,2021-09-13 00:55:37
gp:AOqpTOHwothdwuw9TyZO4RXBf3dAC0ulmRND6ex95XzuLHcXTWDf2hTpCXmQjz_gc9_4cpFta2fZk1WdlQlVQA,"I love it! It's powerful in the fact that we the people can actually see that there are actually millions of like minded folks despite race, creed, eco status. All the intricate differences we don't control are really irrelevant. The similarities that we choose with our FREEDOMS ARE TRULY WHAT MAKES US GREAT. WE ARE A STRONG AMERICA REGARDLESS OF WHAT MSM PORTRAYS US TO BE.",37,21.2.5,2021-09-18 14:13:32
gp:AOqpTOG8GfvdQTEOFg09PHSCt208676UHLFPzwJgcuoEQusc1_lqCe1tm4qd1PwIdQ4POw3d2RRWPjbAxzZKoA,"It's just got so much. Comedy, arts and crafts, information on many things, makeup, true crime stories and etc. Keeping me entertained for way too many hours. Love it",83,21.2.4,2021-09-16 22:57:19
gp:AOqpTOH-3AjR48-JHtRIZ7JVCDBSCaDE-jh0AvNUylUlIq0iKi_orrcJTD_8_hXSuTOz6glye-Vo2AzA6vx7Lg,I love this app alot when you see the 1-3 star reviews it is do to app updating and when you don't update it the app won't work. It will either say update the app no internet or please try again,2,21.3.2,2021-09-20 00:39:47
gp:AOqpTOHCPzyZyQG4-LRxs5bMaSRISFeRwEKHNVoQO538Rm9KZTRlUiExpYd9alpPvmImMmBcGrqBZUSGGP3IgA,This is an amazing app one of the best apps that I have ever down loaded it is so entertaining and you can watch your favorite YouTuber on TikTok overall it's just an amazing app if your board or on a road trip would recommend.,3,21.2.5,2021-09-19 23:47:28
gp:AOqpTOGkSFST2TBSFJZytuqqIFj12qceuQX7tExJf1YDdowQNkxdDAswsvCJqr40L6cK0Gi-9FORqflgAZE9XQ,"It took me a genuine while to log back into my account, although once I did I do appreciate how easy it was to get my current, desired feed. It works as a sort of online memory book, and I'm grateful for it being there.",321,20.9.3,2021-09-01 08:29:35
gp:AOqpTOH-krjuu2fGkXe8iy1Rj7_aiCqAaSbIH3MC-KpyenbAwmENDk9dh7DMqX312RnbY4A5dv8J2wgwF0BUTw,This app is a way to communicate with people and it's where you can be yourself and make fun crazy funny gospel spreading updated things and you do fun trends but sometimes they're not all safe some trends are bad and I have been seeing bad trends on the internet but not the actual video of people doing those bad trends I just see and hear these videos on the internet,26,21.2.5,2021-09-18 03:28:52
gp:AOqpTOElnl4U-dkOKnZmBbCVMwvMGIqhNK-001Hdf1mSnHdBCzxf0r5NZyYN6LjWwslp9D1xGpViO1aMjd0Qaw,"It's a double edged sword. There's some really cool and hilarious stuff, and some absolutely stupid and obscene stuff as well. I do admit the ads are less intrusive than IG is. Still trying to figure out how to get zero notifications though.",69,20.9.3,2021-09-07 05:36:00
gp:AOqpTOG1SHmh4v3-O8Mn-v5KtreOtc7C-iJ5W2LCMZKZAYhwsCjWYK4N_7vjEKP7o64f4yxOrPJEH-zOCabQYg,This app is amazing there is some bad people on it yes i agree fully on that but most of the platform is very nice and welcoming! I have made so many friends on here and its just amazing how such a platform can exist! You can post about your life or just fun videos its a amazing platform! Thank you to the creators of tt you have helped me through a lot by making this app and HOW IS THIS APP STILL FREE!!!! lmao,180,20.9.3,2021-09-04 14:14:29